quantity,item_name,item_description,item_vegan,item_glutenfree
0,Vegetable Pakora,5 pieces of mixed vegetable fritters,TRUE,FALSE
0,Vegetable Samosa,cumin flavored potatoes and peas filled in a hot and fresh flaky pastry,TRUE,FALSE
0,Chicken Samosa,seasoned ground chicken in a hot and fresh flaky pastry,FALSE,FALSE
1,Vegetable Kabab,assortment of green vegetable cutlets,TRUE,FALSE
0,Samosa Chat,"2 pieces of samosa topped with chickpeas, onions, tomatoes and chutney",TRUE,FALSE
0,Papri-Chat,"flour chips served with potatoes, chickpeas, yogurt, coriander and tamarind sauce with spices",FALSE,FALSE
